User,Date,Tweet,Sentiment
nakipektas,2025-11-03 16:48:41+00:00,Tekrar Bitcoin ayısını gündeme getireyim. Acaba okyanusun köpüğünden mi döndü bir daha yoklar mıyız? Bir de sizin fikrinizi alayım millet? https://t.co/jI2SnHbKVG,negative
PhanarukL,2025-11-03 16:48:41+00:00,"🚨 FREE GOLD (SIGNAL)
TRADING SIGNALS! 🚨
👇Join my channel
Telegram https://t.co/VPTSAn1UQt

🔥 95% Accuracy Rate  
📈 3–6 Profitable Signals Every Day  

#BTCUSD 
#Crypto
#Bitcoin
#BTC💯
#trade #btc #news #eth #cro #teadr https://t.co/NMnuWLpklQ",positive
Kateicker38506,2025-11-03 16:48:41+00:00,"$BITCOIN ⚠️👀 Guys, Don't miss the next move in a few hours.. 💸➡️  https://t.co/ps66PdISXK",positive
oo00crypto00oo,2025-11-03 16:48:41+00:00,"RT @nockchain: One way to think about Nockchain:

Our goal is to do for zero-knowledge proofs roughly what Bitcoin did for the SHA-256 hash…",positive
cryptowpaul,2025-11-03 16:48:40+00:00,"RT @Cointelegraph: 🚨 NEW: Institutional demand has fallen below newly mined Bitcoin for the first time in 7 months.

Losing steam or just t…",negative
grayyqwqw,2025-11-03 16:48:40+00:00,"RT @PepemapOG: Big community mint for months now, who’s suddenly minting #PEPEMAP now?

What do they know? Ribbit 🟩

At block 290000.pepema…",positive
conjwre,2025-11-03 16:48:40+00:00,@MendeMatthias Massive milestone! 🇦🇪👏 Big respect to du for bringing Bitcoin mining mainstream — innovation in action! 🚀💎,positive
NaveedNave2614,2025-11-03 16:48:40+00:00,"🚨 FREE BTC (SIGNAL)
TRADING SIGNALS! 🚨
https://t.co/JJwnoZ5IoI

🔥 95% Accuracy Rate  
📈 3–6 Profitable Signals Every Day  

#BTCUSD 
#Crypto
#Bitcoin
#BTC💯
#parfect #Eth #Gold #Xambbn",positive
StevenAndr27556,2025-11-03 16:48:40+00:00,"RT @DNobody77: @cz_binance @PeterSchiff Please say it now Peter, ""Bitcoin is never going to hit $200,000!"" https://t.co/vm1FtOaCks",negative
CNinja99969,2025-11-03 16:48:40+00:00,"RT @AltcoinDaily: Tom Lee: ""I think we can still get to $150k - $200k for Bitcoin and then something like $7,000 for Ethereum."" https://t.c…",positive
